Subject info,Project,Project 1,,,,,
,First Name,,,,,,
,Last Name,Kehlin trial,,,,,
,Sex,Male,,,,,
,Date of birth,,,,,,
,,,,,,,
Record info,Name,Homer Technique,,,,,
,Date Measured,6/15/2018 10:51,,,,,
,Number of periods,1,,,,,
,,,,,,,
Analyzed Signal,"Time, s",,"TIB.ANT. RT, uV","PERONEUS RT, uV","LAT. GASTRO RT, uV","MED. GASTRO RT, uV","Homer Technique, phases"
,119.7267,,-0.656417,6.54199,6.86171,8.59977,1
,119.7273,,0.291741,1.97048,0.140856,5.54365,1
,119.728,,2.40686,-1.10347,4.12507,3.05612,1
,119.7287,,3.64676,-3.54686,2.89761,6.75188,1
,119.7293,,2.11512,-1.41875,4.12507,10.0923,1
,119.73,,-0.656417,2.83749,8.391,7.96011,1
,119.7307,,-1.2399,0.394096,-6.25804,7.39153,1
,119.7313,,-1.53164,15.3697,-20.0016,8.59977,1
,119.732,,-3.42796,59.5873,-4.42691,6.75188,1
,119.7327,,-2.4798,91.0362,13.8844,6.75188,1
,119.7333,,0.875223,82.5237,7.46538,8.88406,1
,119.734,,1.82338,34.9169,-4.42691,10.4476,1
,119.7347,,0,-40.1978,-8.391,11.9402,1
,119.7353,,0,-84.1001,-11.1478,8.2444,1
,119.736,,0.291741,-51.1537,-7.78733,0.355362,1
,119.7367,,-3.42796,0.0788192,1.06648,-1.20823,1
,119.7373,,-5.54308,9.30067,-0.462813,1.56359,1
,119.738,,-0.948158,-11.1923,-6.86171,0.639652,1
,119.7387,,2.6986,-41.6954,-6.86171,3.05612,1
,119.7393,,1.4587,-56.0405,-6.55987,6.75188,1
,119.74,,1.16696,-34.6805,-4.12507,3.98006,1
,119.7407,,2.40686,-9.93122,7.16354,3.41148,1
,119.7413,,1.16696,-9.06421,9.61846,9.808,1
,119.742,,0.583482,-10.8771,1.06648,13.4327,1
,119.7427,,1.4587,-7.48782,1.06648,15.6359,1
,119.7433,,0.583482,-6.30554,3.19945,20.8242,1
,119.744,,-0.656417,-5.67498,-5.65437,26.0125,1
,119.7447,,0.291741,-13.3204,-7.78733,24.4489,1
,119.7453,,0.583482,-20.9659,-1.06648,7.96011,1
,119.746,,-1.2399,-8.11838,-1.36832,-15.8492,1
,119.7467,,-2.4798,5.59616,-0.764648,-20.1135,1
,119.7473,,-1.2399,-0.472915,6.86171,-6.04116,1
,119.748,,0.583482,-5.67498,5.9562,-4.83293,1
,119.7487,,0.875223,0.0788192,-5.35253,-18.9053,1
